Diabetes,Gender,Smoker,Age,SBP,Total_chol,Risk
no,men,non,70-74,>=180,<4,4
no,men,non,70-74,>=180,4-4.9,4
no,men,non,70-74,>=180,5-5.9,4
no,men,non,70-74,>=180,6-6.9,5
no,men,non,70-74,>=180,>=7,5
no,men,non,70-74,160-179,<4,3
no,men,non,70-74,160-179,4-4.9,4
no,men,non,70-74,160-179,5-5.9,4
no,men,non,70-74,160-179,6-6.9,4
no,men,non,70-74,160-179,>=7,4
no,men,non,70-74,140-159,<4,3
no,men,non,70-74,140-159,4-4.9,3
no,men,non,70-74,140-159,5-5.9,3
no,men,non,70-74,140-159,6-6.9,4
no,men,non,70-74,140-159,>=7,4
no,men,non,70-74,120-139,<4,3
no,men,non,70-74,120-139,4-4.9,3
no,men,non,70-74,120-139,5-5.9,3
no,men,non,70-74,120-139,6-6.9,3
no,men,non,70-74,120-139,>=7,3
no,men,non,70-74,<=120,<4,3
no,men,non,70-74,<=120,4-4.9,3
no,men,non,70-74,<=120,5-5.9,3
no,men,non,70-74,<=120,6-6.9,3
no,men,non,70-74,<=120,>=7,3
no,men,yes,70-74,>=180,<4,5
no,men,yes,70-74,>=180,4-4.9,5
no,men,yes,70-74,>=180,5-5.9,5
no,men,yes,70-74,>=180,6-6.9,5
no,men,yes,70-74,>=180,>=7,5
no,men,yes,70-74,160-179,<4,4
no,men,yes,70-74,160-179,4-4.9,4
no,men,yes,70-74,160-179,5-5.9,5
no,men,yes,70-74,160-179,6-6.9,5
no,men,yes,70-74,160-179,>=7,5
no,men,yes,70-74,140-159,<4,4
no,men,yes,70-74,140-159,4-4.9,4
no,men,yes,70-74,140-159,5-5.9,4
no,men,yes,70-74,140-159,6-6.9,4
no,men,yes,70-74,140-159,>=7,5
no,men,yes,70-74,120-139,<4,3
no,men,yes,70-74,120-139,4-4.9,3
no,men,yes,70-74,120-139,5-5.9,4
no,men,yes,70-74,120-139,6-6.9,4
no,men,yes,70-74,120-139,>=7,4
no,men,yes,70-74,<=120,<4,4
no,men,yes,70-74,<=120,4-4.9,3
no,men,yes,70-74,<=120,5-5.9,3
no,men,yes,70-74,<=120,6-6.9,3
no,men,yes,70-74,<=120,>=7,4
no,women,non,70-74,>=180,<4,3
no,women,non,70-74,>=180,4-4.9,3
no,women,non,70-74,>=180,5-5.9,4
no,women,non,70-74,>=180,6-6.9,4
no,women,non,70-74,>=180,>=7,4
no,women,non,70-74,160-179,<4,3
no,women,non,70-74,160-179,4-4.9,3
no,women,non,70-74,160-179,5-5.9,3
no,women,non,70-74,160-179,6-6.9,3
no,women,non,70-74,160-179,>=7,3
no,women,non,70-74,140-159,<4,3
no,women,non,70-74,140-159,4-4.9,3
no,women,non,70-74,140-159,5-5.9,3
no,women,non,70-74,140-159,6-6.9,3
no,women,non,70-74,140-159,>=7,3
no,women,non,70-74,120-139,<4,3
no,women,non,70-74,120-139,4-4.9,3
no,women,non,70-74,120-139,5-5.9,3
no,women,non,70-74,120-139,6-6.9,3
no,women,non,70-74,120-139,>=7,3
no,women,non,70-74,<=120,<4,2
no,women,non,70-74,<=120,4-4.9,2
no,women,non,70-74,<=120,5-5.9,3
no,women,non,70-74,<=120,6-6.9,3
no,women,non,70-74,<=120,>=7,3
no,women,yes,70-74,>=180,<4,4
no,women,yes,70-74,>=180,4-4.9,4
no,women,yes,70-74,>=180,5-5.9,4
no,women,yes,70-74,>=180,6-6.9,5
no,women,yes,70-74,>=180,>=7,5
no,women,yes,70-74,160-179,<4,4
no,women,yes,70-74,160-179,4-4.9,4
no,women,yes,70-74,160-179,5-5.9,4
no,women,yes,70-74,160-179,6-6.9,4
no,women,yes,70-74,160-179,>=7,4
no,women,yes,70-74,140-159,<4,3
no,women,yes,70-74,140-159,4-4.9,3
no,women,yes,70-74,140-159,5-5.9,4
no,women,yes,70-74,140-159,6-6.9,4
no,women,yes,70-74,140-159,>=7,4
no,women,yes,70-74,120-139,<4,3
no,women,yes,70-74,120-139,4-4.9,3
no,women,yes,70-74,120-139,5-5.9,3
no,women,yes,70-74,120-139,6-6.9,3
no,women,yes,70-74,120-139,>=7,3
no,women,yes,70-74,<=120,<4,3
no,women,yes,70-74,<=120,4-4.9,3
no,women,yes,70-74,<=120,5-5.9,3
no,women,yes,70-74,<=120,6-6.9,3
no,women,yes,70-74,<=120,>=7,3
no,men,non,65-69,>=180,<4,3
no,men,non,65-69,>=180,4-4.9,4
no,men,non,65-69,>=180,5-5.9,4
